"pack_name","price","price_text","reward_item","destination"
"Solis Aged Cheese","28.7134","28g 71s 34c","Gold","Arcum Iris"
"Falcorth Aged Cheese","20.0775","20g 7s 75c","Gold","Arcum Iris"
"Villanelle Aged Cheese","26.5655","26g 56s 55c","Gold","Arcum Iris"
"Rookborne Aged Cheese","30.3429","30g 34s 29c","Gold","Arcum Iris"
"Mahadevi Aged Cheese","18.191","18g 19s 10c","Gold","Arcum Iris"
"Silent Forest Aged Cheese","33.3119","33g 31s 19c","Gold","Arcum Iris"
"Perinoor Aged Cheese","28.5834","28g 58s 34c","Gold","Arcum Iris"
"Hasla Aged Cheese","42.0578","42g 5s 78c","Gold","Arcum Iris"
"Solis Fertilizer","18.785","18g 78s 50c","Gold","Arcum Iris"
"Mahadevi Fertilizer","12.0738","12g 7s 38c","Gold","Arcum Iris"
"Falcorth Fertilizer","13.2769","13g 27s 69c","Gold","Arcum Iris"
"Tigerspine Fertilizer","9.621","9g 62s 10c","Gold","Arcum Iris"
"Silent Forest Fertilizer","21.7183","21g 71s 83c","Gold","Arcum Iris"
"Villanelle Fertilizer","17.415","17g 41s 50c","Gold","Arcum Iris"
"Windscour Fertilizer","13.0066","13g 0s 66c","Gold","Arcum Iris"
"Perinoor Fertilizer","18.7024","18g 70s 24c","Gold","Arcum Iris"
"Rookborne Fertilizer","19.8247","19g 82s 47c","Gold","Arcum Iris"
"Ynystere Fertilizer","28.5889","28g 58s 89c","Gold","Arcum Iris"
"Hasla Fertilizer","27.2969","27g 29s 69c","Gold","Arcum Iris"
"Sunbite Citrus Cleaner","11.6724","11g 67s 24c","Gold","Arcum Iris"
"Sunbite Salvation Tea","10.302","10g 30s 20c","Gold","Arcum Iris"
"Sunbite Pest Poison","10.7308","10g 73s 8c","Gold","Arcum Iris"
"Sunbite Fertilizer","11.4167","11g 41s 67c","Gold","Arcum Iris"
"Rokhala Alpine Mix","32.4391","32g 43s 91c","Gold","Arcum Iris"
"Rokhala Auspicious Elixir","28.3215","28g 32s 15c","Gold","Arcum Iris"
"Rokhala Livestock Fodder","29.6076","29g 60s 76c","Gold","Arcum Iris"
"Rokhala Fertilizer","31.6667","31g 66s 67c","Gold","Arcum Iris"
"Sunbite Aged Honey","17.5896","17g 58s 96c","Gold","Arcum Iris"
"Rokhala Aged Honey","50.195","50g 19s 50c","Gold","Arcum Iris"
"Sunbite Aged Salve","17.1609","17g 16s 9c","Gold","Arcum Iris"
"Rokhala Aged Salve","48.9087","48g 90s 87c","Gold","Arcum Iris"
"Sunbite Aged Cheese","17.1609","17g 16s 9c","Gold","Arcum Iris"
"Rokhala Aged Cheese","48.9087","48g 90s 87c","Gold","Arcum Iris"
"Hasla Antiquities","25.5344","25g 53s 44c","Gold","Arcum Iris"
"Perinoor Antiquities","17.5225","17g 52s 25c","Gold","Arcum Iris"
"Arcum Iris Seed Oil","7.6207","7g 62s 7c","Gold","Falcorth Plains"
"Tigerspine Mastercraft Ingots","6.0471","6g 4s 71c","Gold","Falcorth Plains"
"Mahadevi Finest Rubber","8.0825","8g 8s 25c","Gold","Falcorth Plains"
"Solis Golden Spice","11.7451","11g 74s 51c","Gold","Falcorth Plains"
"Villanelle Aged Cordial","11.6681","11g 66s 81c","Gold","Falcorth Plains"
"Silent Forest Ship Lumber","15.3018","15g 30s 18c","Gold","Falcorth Plains"
"Ynystere Starshard Spice","18.056","18g 5s 60c","Gold","Falcorth Plains"
"Rookborne Basin Amber Spirits","16.4315","16g 43s 15c","Gold","Falcorth Plains"
"Windscour Alchemical Catalyst","11.5526","11g 55s 26c","Gold","Falcorth Plains"
"Perinoor Moonshine","14.9434","14g 94s 34c","Gold","Falcorth Plains"
"Hasla Light Synthetic Fiber","16.4592","16g 45s 92c","Gold","Falcorth Plains"
"Arcum Iris Dried Seed","7.6207","7g 62s 7c","Gold","Falcorth Plains"
"Arcum Iris Turmeric Powder","7.6207","7g 62s 7c","Gold","Falcorth Plains"
"Tigerspine Souvenirs","6.0471","6g 4s 71c","Gold","Falcorth Plains"
"Tigerspine Round Bricks","6.0471","6g 4s 71c","Gold","Falcorth Plains"
"Mahadevi Banana Nectar","8.0825","8g 8s 25c","Gold","Falcorth Plains"
"Mahadevi Straight-Grain Plywood","8.0825","8g 8s 25c","Gold","Falcorth Plains"
"Solis Saffron","11.7451","11g 74s 51c","Gold","Falcorth Plains"
"Solis Dried Rosemary","11.7451","11g 74s 51c","Gold","Falcorth Plains"
"Villanelle Sticky Rice Snack","11.6681","11g 66s 81c","Gold","Falcorth Plains"
"Villanelle Crusty Bread","11.6681","11g 66s 81c","Gold","Falcorth Plains"
"Silent Forest Pinecone Sap","15.3018","15g 30s 18c","Gold","Falcorth Plains"
"Silent Forest Dye","15.3018","15g 30s 18c","Gold","Falcorth Plains"
"Ynystere Floral Bouquets","18.056","18g 5s 60c","Gold","Falcorth Plains"
"Ynystere Ceremonial Bouquets","18.056","18g 5s 60c","Gold","Falcorth Plains"
"Rookborne Carrot Ale","16.4315","16g 43s 15c","Gold","Falcorth Plains"
"Rookborne Basin Mead","16.4315","16g 43s 15c","Gold","Falcorth Plains"
"Windscour Miracle Capsule","11.5526","11g 55s 26c","Gold","Falcorth Plains"
"Windscour Peppermints","11.5526","11g 55s 26c","Gold","Falcorth Plains"
"Perinoor Peanut Butter","14.9434","14g 94s 34c","Gold","Falcorth Plains"
"Perinoor All-Spice","14.9434","14g 94s 34c","Gold","Falcorth Plains"
"Hasla Treated Bamboo","16.4592","16g 45s 92c","Gold","Falcorth Plains"
"Hasla Duck Down","16.4592","16g 45s 92c","Gold","Falcorth Plains"
"Arcum Iris Red Leather Pack","7.6207","7g 62s 7c","Gold","Falcorth Plains"
"Tigerspine Tomato Juice","6.0471","6g 4s 71c","Gold","Falcorth Plains"
"Mahadevi Cold Processed Fabric","8.0825","8g 8s 25c","Gold","Falcorth Plains"
"Solis Fried Jujube","11.7451","11g 74s 51c","Gold","Falcorth Plains"
"Villanelle Candied Apples","11.6681","11g 66s 81c","Gold","Falcorth Plains"
"Silent Forest Aged Garlic","15.3018","15g 30s 18c","Gold","Falcorth Plains"
"Ynystere Dried Tomatoes","18.056","18g 5s 60c","Gold","Falcorth Plains"
"Rookborne Pumpkin Juice","16.4315","16g 43s 15c","Gold","Falcorth Plains"
"Windscour Regenerating Cream","11.5526","11g 55s 26c","Gold","Falcorth Plains"
"Perinoor Snack Pack","14.9434","14g 94s 34c","Gold","Falcorth Plains"
"Hasla Grilled Yams","16.4592","16g 45s 92c","Gold","Falcorth Plains"
"Solis Alchemy Oil","22.8547","22g 85s 47c","Gold","Falcorth Plains"
"Arcum Iris Roasted Eggs","13.5838","13g 58s 38c","Gold","Falcorth Plains"
"Mahadevi Elephant Cookies","15.2248","15g 22s 48c","Gold","Falcorth Plains"
"Tigerspine Tigerspaw Pancakes","10.8965","10g 89s 65c","Gold","Falcorth Plains"
"Silent Forest Dried Fruit","22.5164","22g 51s 64c","Gold","Falcorth Plains"
"Villanelle Potpourri","20.1716","20g 17s 16c","Gold","Falcorth Plains"
"Windscour Hearty Jerky","20.3661","20g 36s 61c","Gold","Falcorth Plains"
"Perinoor Aged Spices","27.5285","27g 52s 85c","Gold","Falcorth Plains"
"Rookborne Biscuit Sticks","27.2575","27g 25s 75c","Gold","Falcorth Plains"
"Ynystere Preserves","31.8502","31g 85s 2c","Gold","Falcorth Plains"
"Hasla Softened Fabric","29.7823","29g 78s 23c","Gold","Falcorth Plains"
"Solis Juice Concentrate","20.0044","20g 0s 44c","Gold","Falcorth Plains"
"Arcum Iris Lavaspice","11.9574","11g 95s 74c","Gold","Falcorth Plains"
"Mahadevi Yule Logs","13.3815","13g 38s 15c","Gold","Falcorth Plains"
"Tigerspine Grape Jam","9.6268","9g 62s 68c","Gold","Falcorth Plains"
"Silent Forest Pomme Candy","19.7103","19g 71s 3c","Gold","Falcorth Plains"
"Villanelle Preserved Cherries","17.6751","17g 67s 51c","Gold","Falcorth Plains"
"Windscour Bitter Herbs","17.8426","17g 84s 26c","Gold","Falcorth Plains"
"Perinoor Potato Powder","24.0609","24g 6s 9c","Gold","Falcorth Plains"
"Rookborne Fruit Leather","23.822","23g 82s 20c","Gold","Falcorth Plains"
"Ynystere Olive Oil","27.8104","27g 81s 4c","Gold","Falcorth Plains"
"Hasla Cured Meat","26.0161","26g 1s 61c","Gold","Falcorth Plains"
"Solis Red Spice","20.8946","20g 89s 46c","Gold","Falcorth Plains"
"Arcum Iris Salt Crackers","12.4649","12g 46s 49c","Gold","Falcorth Plains"
"Mahadevi Pickles","13.9567","13g 95s 67c","Gold","Falcorth Plains"
"Tigerspine Seasoned Meat","10.0235","10g 2s 35c","Gold","Falcorth Plains"
"Silent Forest Seasonings","20.587","20g 58s 70c","Gold","Falcorth Plains"
"Villanelle Long Noodles","18.4544","18g 45s 44c","Gold","Falcorth Plains"
"Windscour Chilled Beverages","18.6302","18g 63s 2c","Gold","Falcorth Plains"
"Perinoor Fried Meat","25.1448","25g 14s 48c","Gold","Falcorth Plains"
"Rookborne Millet Pilaf","24.8946","24g 89s 46c","Gold","Falcorth Plains"
"Ynystere Bouquets","29.0722","29g 7s 22c","Gold","Falcorth Plains"
"Hasla Specialty Tea","27.1931","27g 19s 31c","Gold","Falcorth Plains"
"Solis Aged Honey","35.1452","35g 14s 52c","Gold","Falcorth Plains"
"Villanelle Aged Honey","30.9304","30g 93s 4c","Gold","Falcorth Plains"
"Rookborne Aged Honey","42.0542","42g 5s 42c","Gold","Falcorth Plains"
"Mahadevi Aged Salve","22.5864","22g 58s 64c","Gold","Falcorth Plains"
"Silent Forest Aged Salve","33.7374","33g 73s 74c","Gold","Falcorth Plains"
"Perinoor Aged Salve","41.4025","41g 40s 25c","Gold","Falcorth Plains"
"Hasla Aged Salve","44.8474","44g 84s 74c","Gold","Falcorth Plains"
"Arcum Iris Aged Cheese","20.0775","20g 7s 75c","Gold","Falcorth Plains"
"Tigerspine Aged Cheese","15.9712","15g 97s 12c","Gold","Falcorth Plains"
"Windscour Aged Cheese","30.4464","30g 44s 64c","Gold","Falcorth Plains"
"Ynystere Aged Cheese","48.0084","48g 0s 84c","Gold","Falcorth Plains"
"Mahadevi Aged Honey","23.1616","23g 16s 16c","Gold","Falcorth Plains"
"Silent Forest Aged Honey","34.6141","34g 61s 41c","Gold","Falcorth Plains"
"Perinoor Aged Honey","42.4864","42g 48s 64c","Gold","Falcorth Plains"
"Hasla Aged Honey","46.0243","46g 2s 43c","Gold","Falcorth Plains"
"Arcum Iris Aged Honey","20.585","20g 58s 50c","Gold","Falcorth Plains"
"Tigerspine Aged Honey","16.3677","16g 36s 77c","Gold","Falcorth Plains"
"Windscour Aged Honey","31.2342","31g 23s 42c","Gold","Falcorth Plains"
"Ynystere Aged Honey","49.2702","49g 27s 2c","Gold","Falcorth Plains"
"Solis Aged Salve","34.255","34g 25s 50c","Gold","Falcorth Plains"
"Villanelle Aged Salve","30.151","30g 15s 10c","Gold","Falcorth Plains"
"Rookborne Aged Salve","40.9817","40g 98s 17c","Gold","Falcorth Plains"
"Arcum Iris Aged Salve","20.0775","20g 7s 75c","Gold","Falcorth Plains"
"Tigerspine Aged Salve","15.9712","15g 97s 12c","Gold","Falcorth Plains"
"Windscour Aged Salve","30.4464","30g 44s 64c","Gold","Falcorth Plains"
"Ynystere Aged Salve","48.0084","48g 0s 84c","Gold","Falcorth Plains"
"Solis Aged Cheese","34.255","34g 25s 50c","Gold","Falcorth Plains"
"Villanelle Aged Cheese","30.151","30g 15s 10c","Gold","Falcorth Plains"
"Rookborne Aged Cheese","40.9817","40g 98s 17c","Gold","Falcorth Plains"
"Mahadevi Aged Cheese","22.5864","22g 58s 64c","Gold","Falcorth Plains"
"Silent Forest Aged Cheese","33.7374","33g 73s 74c","Gold","Falcorth Plains"
"Perinoor Aged Cheese","41.4025","41g 40s 25c","Gold","Falcorth Plains"
"Hasla Aged Cheese","44.8474","44g 84s 74c","Gold","Falcorth Plains"
"Solis Fertilizer","22.3197","22g 31s 97c","Gold","Falcorth Plains"
"Arcum Iris Fertilizer","13.2769","13g 27s 69c","Gold","Falcorth Plains"
"Mahadevi Fertilizer","14.8773","14g 87s 73c","Gold","Falcorth Plains"
"Tigerspine Fertilizer","10.6578","10g 65s 78c","Gold","Falcorth Plains"
"Silent Forest Fertilizer","21.9894","21g 98s 94c","Gold","Falcorth Plains"
"Villanelle Fertilizer","19.7021","19g 70s 21c","Gold","Falcorth Plains"
"Windscour Fertilizer","19.8906","19g 89s 6c","Gold","Falcorth Plains"
"Perinoor Fertilizer","26.8789","26g 87s 89c","Gold","Falcorth Plains"
"Rookborne Fertilizer","26.6104","26g 61s 4c","Gold","Falcorth Plains"
"Ynystere Fertilizer","31.0918","31g 9s 18c","Gold","Falcorth Plains"
"Hasla Fertilizer","29.0763","29g 7s 63c","Gold","Falcorth Plains"
"Sunbite Citrus Cleaner","19.1391","19g 13s 91c","Gold","Falcorth Plains"
"Sunbite Salvation Tea","16.7816","16g 78s 16c","Gold","Falcorth Plains"
"Sunbite Pest Poison","17.5183","17g 51s 83c","Gold","Falcorth Plains"
"Sunbite Fertilizer","18.6978","18g 69s 78c","Gold","Falcorth Plains"
"Rokhala Alpine Mix","26.5607","26g 56s 7c","Gold","Falcorth Plains"
"Rokhala Auspicious Elixir","23.2197","23g 21s 97c","Gold","Falcorth Plains"
"Rokhala Livestock Fodder","24.2631","24g 26s 31c","Gold","Falcorth Plains"
"Rokhala Fertilizer","25.9335","25g 93s 35c","Gold","Falcorth Plains"
"Sunbite Aged Honey","29.3136","29g 31s 36c","Gold","Falcorth Plains"
"Rokhala Aged Honey","40.9635","40g 96s 35c","Gold","Falcorth Plains"
"Sunbite Aged Salve","28.5767","28g 57s 67c","Gold","Falcorth Plains"
"Rokhala Aged Salve","39.9202","39g 92s 2c","Gold","Falcorth Plains"
"Sunbite Aged Cheese","28.5767","28g 57s 67c","Gold","Falcorth Plains"
"Rokhala Aged Cheese","39.9202","39g 92s 2c","Gold","Falcorth Plains"
"Hasla Antiquities","27.1931","27g 19s 31c","Gold","Falcorth Plains"
"Perinoor Antiquities","25.1448","25g 14s 48c","Gold","Falcorth Plains"
"Arcum Iris Seed Oil","6.7652","6g 76s 52c","Gold","Mahadevi"
"Falcorth Tanned Leather","8.0825","8g 8s 25c","Gold","Mahadevi"
"Tigerspine Mastercraft Ingots","5.9366","5g 93s 66c","Gold","Mahadevi"
"Solis Golden Spice","6.8674","6g 86s 74c","Gold","Mahadevi"
"Villanelle Aged Cordial","6.8014","6g 80s 14c","Gold","Mahadevi"
"Silent Forest Ship Lumber","9.6743","9g 67s 43c","Gold","Mahadevi"
"Ynystere Starshard Spice","11.8018","11g 80s 18c","Gold","Mahadevi"
"Rookborne Basin Amber Spirits","13.3388","13g 33s 88c","Gold","Mahadevi"
"Windscour Alchemical Catalyst","10.4263","10g 42s 63c","Gold","Mahadevi"
"Perinoor Moonshine","13.6532","13g 65s 32c","Gold","Mahadevi"
"Hasla Light Synthetic Fiber","15.6297","15g 62s 97c","Gold","Mahadevi"
"Arcum Iris Dried Seed","6.7652","6g 76s 52c","Gold","Mahadevi"
"Arcum Iris Turmeric Powder","6.7652","6g 76s 52c","Gold","Mahadevi"
"Falcorth Plains Clover Feed","8.0825","8g 8s 25c","Gold","Mahadevi"
"Falcorth Plains Bedding","8.0825","8g 8s 25c","Gold","Mahadevi"
"Tigerspine Souvenirs","5.9366","5g 93s 66c","Gold","Mahadevi"
"Tigerspine Round Bricks","5.9366","5g 93s 66c","Gold","Mahadevi"
"Solis Saffron","6.8674","6g 86s 74c","Gold","Mahadevi"
"Solis Dried Rosemary","6.8674","6g 86s 74c","Gold","Mahadevi"
"Villanelle Sticky Rice Snack","6.8014","6g 80s 14c","Gold","Mahadevi"
"Villanelle Crusty Bread","6.8014","6g 80s 14c","Gold","Mahadevi"
"Silent Forest Pinecone Sap","9.6743","9g 67s 43c","Gold","Mahadevi"
"Silent Forest Dye","9.6743","9g 67s 43c","Gold","Mahadevi"
"Ynystere Floral Bouquets","11.8018","11g 80s 18c","Gold","Mahadevi"
"Ynystere Ceremonial Bouquets","11.8018","11g 80s 18c","Gold","Mahadevi"
"Rookborne Carrot Ale","13.3388","13g 33s 88c","Gold","Mahadevi"
"Rookborne Basin Mead","13.3388","13g 33s 88c","Gold","Mahadevi"
"Windscour Miracle Capsule","10.4263","10g 42s 63c","Gold","Mahadevi"
"Windscour Peppermints","10.4263","10g 42s 63c","Gold","Mahadevi"
"Perinoor Peanut Butter","13.6532","13g 65s 32c","Gold","Mahadevi"
"Perinoor All-Spice","13.6532","13g 65s 32c","Gold","Mahadevi"
"Hasla Treated Bamboo","15.6297","15g 62s 97c","Gold","Mahadevi"
"Hasla Duck Down","15.6297","15g 62s 97c","Gold","Mahadevi"
"Arcum Iris Red Leather Pack","6.7652","6g 76s 52c","Gold","Mahadevi"
"Falcorth Dried Yams","8.0825","8g 8s 25c","Gold","Mahadevi"
"Tigerspine Tomato Juice","5.9366","5g 93s 66c","Gold","Mahadevi"
"Solis Fried Jujube","6.8674","6g 86s 74c","Gold","Mahadevi"
"Villanelle Candied Apples","6.8014","6g 80s 14c","Gold","Mahadevi"
"Silent Forest Aged Garlic","9.6743","9g 67s 43c","Gold","Mahadevi"
"Ynystere Dried Tomatoes","11.8018","11g 80s 18c","Gold","Mahadevi"
"Rookborne Pumpkin Juice","13.3388","13g 33s 88c","Gold","Mahadevi"
"Windscour Regenerating Cream","10.4263","10g 42s 63c","Gold","Mahadevi"
"Perinoor Snack Pack","13.6532","13g 65s 32c","Gold","Mahadevi"
"Hasla Grilled Yams","15.6297","15g 62s 97c","Gold","Mahadevi"
"Solis Alchemy Oil","12.3693","12g 36s 93c","Gold","Mahadevi"
"Arcum Iris Roasted Eggs","12.3465","12g 34s 65c","Gold","Mahadevi"
"Falcorth Snowlion Yarn","15.2248","15g 22s 48c","Gold","Mahadevi"
"Tigerspine Tigerspaw Pancakes","10.6731","10g 67s 31c","Gold","Mahadevi"
"Silent Forest Dried Fruit","18.3769","18g 37s 69c","Gold","Mahadevi"
"Villanelle Potpourri","12.2626","12g 26s 26c","Gold","Mahadevi"
"Windscour Hearty Jerky","20.3249","20g 32s 49c","Gold","Mahadevi"
"Perinoor Aged Spices","27.7062","27g 70s 62c","Gold","Mahadevi"
"Rookborne Biscuit Sticks","25.044","25g 4s 40c","Gold","Mahadevi"
"Ynystere Preserves","21.8503","21g 85s 3c","Gold","Mahadevi"
"Hasla Softened Fabric","37.6719","37g 67s 19c","Gold","Mahadevi"
"Solis Juice Concentrate","10.907","10g 90s 70c","Gold","Mahadevi"
"Arcum Iris Lavaspice","10.8867","10g 88s 67c","Gold","Mahadevi"
"Falcorth Apple Tarts","13.3815","13g 38s 15c","Gold","Mahadevi"
"Tigerspine Grape Jam","9.433","9g 43s 30c","Gold","Mahadevi"
"Silent Forest Pomme Candy","16.1171","16g 11s 71c","Gold","Mahadevi"
"Villanelle Preserved Cherries","10.8137","10g 81s 37c","Gold","Mahadevi"
"Windscour Bitter Herbs","17.8107","17g 81s 7c","Gold","Mahadevi"
"Perinoor Potato Powder","24.215","24g 21s 50c","Gold","Mahadevi"
"Rookborne Fruit Leather","21.9026","21g 90s 26c","Gold","Mahadevi"
"Ynystere Olive Oil","19.1354","19g 13s 54c","Gold","Mahadevi"
"Hasla Cured Meat","32.8644","32g 86s 44c","Gold","Mahadevi"
"Solis Red Spice","11.3642","11g 36s 42c","Gold","Mahadevi"
"Arcum Iris Salt Crackers","11.3432","11g 34s 32c","Gold","Mahadevi"
"Falcorth Carrot Cake","13.9567","13g 95s 67c","Gold","Mahadevi"
"Tigerspine Seasoned Meat","9.8203","9g 82s 3c","Gold","Mahadevi"
"Silent Forest Seasonings","16.8222","16g 82s 22c","Gold","Mahadevi"
"Villanelle Long Noodles","11.2664","11g 26s 64c","Gold","Mahadevi"
"Windscour Chilled Beverages","18.5969","18g 59s 69c","Gold","Mahadevi"
"Perinoor Fried Meat","25.3063","25g 30s 63c","Gold","Mahadevi"
"Rookborne Millet Pilaf","22.8832","22g 88s 32c","Gold","Mahadevi"
"Ynystere Bouquets","19.9843","19g 98s 43c","Gold","Mahadevi"
"Hasla Specialty Tea","34.3674","34g 36s 74c","Gold","Mahadevi"
"Solis Aged Honey","18.6837","18g 68s 37c","Gold","Mahadevi"
"Falcorth Aged Honey","23.1616","23g 16s 16c","Gold","Mahadevi"
"Villanelle Aged Honey","18.5147","18g 51s 47c","Gold","Mahadevi"
"Rookborne Aged Honey","38.5801","38g 58s 1c","Gold","Mahadevi"
"Silent Forest Aged Salve","27.406","27g 40s 60c","Gold","Mahadevi"
"Perinoor Aged Salve","41.6743","41g 67s 43c","Gold","Mahadevi"
"Hasla Aged Salve","56.9134","56g 91s 34c","Gold","Mahadevi"
"Arcum Iris Aged Cheese","18.191","18g 19s 10c","Gold","Mahadevi"
"Tigerspine Aged Cheese","15.6297","15g 62s 97c","Gold","Mahadevi"
"Windscour Aged Cheese","30.3902","30g 39s 2c","Gold","Mahadevi"
"Ynystere Aged Cheese","32.7239","32g 72s 39c","Gold","Mahadevi"
"Silent Forest Aged Honey","28.1112","28g 11s 12c","Gold","Mahadevi"
"Perinoor Aged Honey","42.7655","42g 76s 55c","Gold","Mahadevi"
"Hasla Aged Honey","58.4166","58g 41s 66c","Gold","Mahadevi"
"Arcum Iris Aged Honey","18.6476","18g 64s 76c","Gold","Mahadevi"
"Tigerspine Aged Honey","16.017","16g 1s 70c","Gold","Mahadevi"
"Windscour Aged Honey","31.1764","31g 17s 64c","Gold","Mahadevi"
"Ynystere Aged Honey","33.5728","33g 57s 28c","Gold","Mahadevi"
"Solis Aged Salve","18.2265","18g 22s 65c","Gold","Mahadevi"
"Falcorth Aged Salve","22.5864","22g 58s 64c","Gold","Mahadevi"
"Villanelle Aged Salve","18.062","18g 6s 20c","Gold","Mahadevi"
"Rookborne Aged Salve","37.5996","37g 59s 96c","Gold","Mahadevi"
"Arcum Iris Aged Salve","18.191","18g 19s 10c","Gold","Mahadevi"
"Tigerspine Aged Salve","15.6297","15g 62s 97c","Gold","Mahadevi"
"Windscour Aged Salve","30.3902","30g 39s 2c","Gold","Mahadevi"
"Ynystere Aged Salve","32.7239","32g 72s 39c","Gold","Mahadevi"
"Solis Aged Cheese","18.2265","18g 22s 65c","Gold","Mahadevi"
"Falcorth Aged Cheese","22.5864","22g 58s 64c","Gold","Mahadevi"
"Villanelle Aged Cheese","18.062","18g 6s 20c","Gold","Mahadevi"
"Rookborne Aged Cheese","37.5996","37g 59s 96c","Gold","Mahadevi"
"Silent Forest Aged Cheese","27.406","27g 40s 60c","Gold","Mahadevi"
"Perinoor Aged Cheese","41.6743","41g 67s 43c","Gold","Mahadevi"
"Hasla Aged Cheese","56.9134","56g 91s 34c","Gold","Mahadevi"
"Solis Fertilizer","12.0961","12g 9s 61c","Gold","Mahadevi"
"Arcum Iris Fertilizer","12.0738","12g 7s 38c","Gold","Mahadevi"
